Weston,Teresa,
Zachary,Trinity,
Aibhne,Udeline,
Ailill,Unita,
Aindrea,Valerie,
Airell,Winnie,
Amergin,Ximena,
Ardal,Yvonne,
Artan,Afric,
Asthore,Aibhne,
Awnan,Aidan,
Banagher,Aideen,
Barry,Aileen,
Bary,Aindrea,
Bowie,Aine,
Boyd,Aislin,
Bradan,Aisling,
Brady,Aislinn,
Brawley,Aoibheann,
Brede,Aoife,
Brend,Ardara,
Brendan,Ashling,
Brendon,Asthore,
Brennan,Aven,
Brian,Bidelia,
Briley,Brady,
Brogan,Brede,
Bryant,Breeda,
Cael,Breena,
Caelan,Briana,
Cagney,Bridget,
Caine,Bridgit,
Cairbre,Bridie,
Callahan,Brighid,
Callan,Brigid,
Callen,Briley,
Caolan,Brogan,
Carey,Bryna,
Cargan,Cadhla,
Carlin,Cael,
Carlow,Caelan,
Carr,Cagney,
Carrigan,Cait,
Cashel,Caitlyn,
Cassidy,Callan,
Cathal,Callen,
Cavan,Caoimhe,
Ceallach,Carey,
Cian,Carlin,
Ciar,Carrigan,
Ciaran,Casey,
Cillian,Cassidy,
Clancy,Cathleen,
Colm,Cayleen,
Colum,Ceara,
Conan,Chevonne,
Conary,Cianna,
Conlan,Ciara,
Conleth,Clidhna,
Conley,Cliona,
Connell,Clodagh,
Conner,Conary,
Connery,Conleth,
Connley,Connery,
Conor,Corey,
Conway,Corrigan,
Corey,Cory,
Cormac,Darra,
Corrigan,Darren,
Cory,Deidra,
Crevan,Deirdra,
Cunningham,Deirdre,
Curran,Delma,
Curry,Derry,
Daire,Devan,
Darra,Devin,
Darrah,Dierdra,
Darren,Doreen,
Dempsey,Dublin,
Dermot,Duff,
Derry,Duffy,
Desmond,Dympna,
Devan,Ea,
Devin,Eadoin,
Devlin,Eavan,
Doherty,Eileen,
Dolan,Eilley,
Donagh,Eimear,
Donahue,Eire,
Donnan,Eithne,
Donnel,Elish,
Donnelly,Emer,
Donnigan,Ena,
Donovan,Ennis,
Dooley,Enya,
Doyle,Enye,
Duane,Erin,
Dublin,Errigal,
Duff,Fallon,
Duffy,Faylinn,
Dugan,Fiana,
Ea,Fidelma,
Eamon,Finna,
Edan,Finnegan,
Egan,Finola,
Eire,Fionnuala,
Enan,Fionnula,
Ennis,Flann,
Eoghan,Flannerry,
Eoin,Flannery,
Errigal,Flynn,
Fallon,Gael,
Faolan,Hennessy,
Farrell,Ide,
Fearghus,Innis,
Feoras,Isleen,
Fergal,Kaitlin,
Fiachra,Kaitlyn,
Findlay,Kassidy,
Fineen,Kathan,
Finn,Kathleen,
Finnegan,Keagan,
Finnian,Keaira,
Fionan,Keegan,
Fionn,Keelan,
Fitzgerald,Keelin,
Flan,Keelty,
Flann,Keely,
Flannerry,Keeran,
Flannery,Keeva,
Flynn,Kegan,
Fynn,Keir,
Gael,Keira,
Gallagher,Kella,
Galvin,Kellen,
Gannon,Kelley,
Garvey,Kelly,
Gavan,Kellyn,
Gilmore,Kelsea,
Gilroy,Kenadie,
Giolla,Kerra,
Grady,Kerri,
Grian,Kerry,
Hennessy,Kevine,
Heremon,Kiandra,
Herne,Kiara,
Hogan,Kieran,
Innis,Kieve,
Kael,Kiley,
Kane,Killian,
Kassidy,Kinley,
Kathan,Kiva,
Keagan,Kody,
Keefe,Laoghaire,
Keegan,Lennon,
Keelan,Lochlyn,
Keelin,Logan,
Keenan,Mab,
Keeran,Madden,
Kegan,Madigan,
Keir,Maeve,
Keiran,Maili,
Kellan,Maire,
Kellen,Mairead,
Kelley,Maura,
Kelly,Maureen,
Kenadie,Mave,
Kennan,McKinley,
Kennedy,Meabh,
Kerry,Meara,
Kieran,Melva,
Kiernan,Miach,
Kieve,Monahan,
Kiley,Monroe,
Killian,Morey,
Kinley,Morna,
Lennon,Morrigan,
Lorcan,Muireann,
Madden,Muirne,
Madigan,Muriel,
Magee,Murphy,
Mahon,Murron,
Malone,Myrna,
McKinley,Naomh,
Miach,Neely,
Micheal,Neve,
Monahan,Nevin,
Monroe,Nevina,
Morey,Niall,
Morrigan,Niamh,
Muireann,Nola,
Murphy,Noland,
Murron,Noreen,
Neal,Nuala,
Neely,Oona,
Neil,Oran,
Neilan,Orla,
Nevan,Orlaith,
Nevin,Ormanda,
Niall,Orra,
Noland,Ownah,
Nolen,Parlan,
Oisin,Pegeen,
Oistin,Peigi,
Oran,Phalen,
Ormond,Phiala,
Orrin,Pixie,
Ossian,Quillan,
Paddy,Quin,
Padraic,Quinlan,
Parlan,Rafferty,
Pauric,Reilly,
Quade,Renny,
Quillan,Rihanna,
Quin,Riona,
Quinlan,Roisin,
Quinn,Ronat,
Rafferty,Rory,
Raghnall,Rosaleen,
Reagan,Ryan,
Redmond,Ryane,
Reilly,Rylee,
Renny,Rylie,
Rian,Saoirse,
Riley,Saraid,
Riordan,Shane,
Ronan,Shannan,
Rory,Shannon,
RuaidhrÃ,Shay,
Ruaidhri,Shea,
Rylee,Sheehan,
Rylie,Sheila,
Saeran,Shelagh,
Seamus,Sheridan,
Shane,Shiela,
Shannan,Shoney,
Shannon,Sile,
Shay,Sinead,
Shea,Siobhan,
Sheridan,Siofra,
Shoney,Siusan,
Sionn,Slaine,
Slaine,Sonnagh,
Sloan,Sorcha,
Slone,Taisce,
Sonnagh,Tara,
Suibhne,Teagan,
Sullivan,Tierney,
Tadhg,Tieve,
Taisce,Tigernach,
Tarmon,Torrin,
Tavis,Tully,
Teagan,Tynan,
Teague,Tyran,
Teige,Uaine,
Tiergan,Una,
Tiernan,x,
Tierney,x,
Tigernach,x,
Torin,x,
Torrin,x,
Trory,x,
Tully,x,
Tynan,x,
Tyran,x,
Tyrone,x,
Uaine,x,
Verlin,x,
